Rank,Symbol,Security,Market Cap,1d %,7d %,Exchange,Volume
1,NVDA,Nvidia,3621363908608,-0.84,9.03,NMS,173148255
2,AAPL,Apple Inc.,3430681935872,-0.12,1.93,NMS,37608324
3,MSFT,Microsoft,3141534220288,-0.68,2.97,NMS,16809546
4,GOOGL,Alphabet Inc. (Class A),2191547039744,-1.33,4.12,NMS,21970658
4,GOOG,Alphabet Inc. (Class C),2191540092928,-1.33,4.18,NMS,14666145
5,AMZN,Amazon,2189012631552,-0.89,5.18,NMS,35865497
6,META,Meta Platforms,1487782936576,-0.4,3.91,NMS,9254890
7,TSLA,"Tesla, Inc.",1031135494144,8.19,29.01,NMS,201778989
8,BRK-B,Berkshire Hathaway,999723630592,0.71,2.49,NYQ,3538916
9,AVGO,Broadcom,857705349120,-0.09,8.71,NMS,12883613
10,LLY,Lilly (Eli),789394161664,4.27,1.54,NYQ,5749379
11,WMT,Walmart,681884778496,1.17,3.21,NYQ,11522355
12,JPM,JPMorgan Chase,667179286528,0.25,6.3,NYQ,7337065
13,V,Visa Inc.,597788065792,0.68,5.89,NYQ,6237557
14,UNH,UnitedHealth Group,566720135168,1.71,8.5,NYQ,2907931
15,XOM,ExxonMobil,532289355776,-0.03,5.36,NYQ,12828532
16,ORCL,Oracle Corporation,524423102464,1.55,11.31,NYQ,6938498
17,MA,Mastercard,481641005056,1.33,3.28,NYQ,2213615
18,COST,Costco,418173222912,3.27,7.58,NMS,3234903
19,HD,Home Depot (The),403177603072,1.62,3.39,NYQ,2733120
20,PG,Procter & Gamble,394963779584,2.63,1.58,NYQ,7503753
21,JNJ,Johnson & Johnson,374312697856,-0.8,-2.91,NYQ,8818545
22,ABBV,AbbVie,352544423936,-0.5,-1.99,NYQ,4593349
23,BAC,Bank of America,346277085184,0.8,8.07,NYQ,31940642
24,NFLX,Netflix,339846201344,-0.19,5.15,NMS,1863013
25,CRM,Salesforce,307784220672,3.59,9.24,NYQ,8479802
26,CVX,Chevron Corporation,279793598464,0.1,2.52,NYQ,5904541
27,KO,Coca-Cola Company (The),275354583040,0.41,-1.68,NYQ,14669180
28,TMUS,T-Mobile US,273074896896,1.65,5.39,NMS,3206793
29,MRK,Merck & Co.,260350541824,1.73,1.02,NYQ,6160597
30,AMD,Advanced Micro Devices,240094724096,-1.25,4.29,NMS,27099537
31,WFC,Wells Fargo,233197469696,0.89,8.91,NYQ,14240917
32,CSCO,Cisco,231428325376,-0.03,4.61,NMS,15345999
33,PEP,PepsiCo,226529280000,0.68,-0.29,NMS,4398903
34,ACN,Accenture,222155046912,-1.44,2.85,NYQ,2289262
35,LIN,Linde plc,218785087488,-1.29,0.47,NMS,1460565
36,ADBE,Adobe Inc.,217758138368,-1.25,2.46,NMS,2835239
37,BX,Blackstone Inc.,215237689344,0.66,5.54,NYQ,2767725
38,MCD,McDonald's,214247899136,1.46,1.27,NYQ,2277977
39,TMO,Thermo Fisher Scientific,211040550912,-0.75,-1.11,NYQ,1620362
40,MS,Morgan Stanley,208678010880,0.85,10.85,NYQ,6950072
41,NOW,ServiceNow,207984033792,-0.71,6.85,NYQ,867120
42,AXP,American Express,202598383616,0.27,5.47,NYQ,1415742
43,ABT,Abbott Laboratories,202220683264,1.12,-1.69,NYQ,5603135
44,TXN,Texas Instruments,200952283136,1.26,7.5,NMS,4941889
45,GE,GE Aerospace,200018018304,3.33,7.64,NYQ,3853062
46,IBM,IBM,197615124480,0.01,2.63,NYQ,2399747
47,PM,Philip Morris International,196281729024,1.99,-3.38,NYQ,6364478
48,INTU,Intuit,191781388288,1.49,10.05,NMS,1641263
49,ISRG,Intuitive Surgical,191072239616,2.32,5.95,NMS,1416216
50,CAT,Caterpillar Inc.,189919821824,-3.64,3.62,NYQ,3342835
51,QCOM,Qualcomm,189881024512,-1.16,3.41,NMS,10722086
52,GS,Goldman Sachs,184974622720,1.22,13.46,NYQ,2346675
53,DIS,Walt Disney Company (The),179581681664,0.09,3.35,NYQ,6482727
54,DHR,Danaher Corporation,177239064576,-0.29,-0.96,NYQ,2941078
55,AMGN,Amgen,174848737280,1.05,1.9,NMS,1927177
56,VZ,Verizon,170405822464,-0.22,-2.13,NYQ,21278511
57,CMCSA,Comcast,168023375872,-0.63,0.8,NMS,19566249
58,RTX,RTX Corporation,164447535104,2.89,4.04,NYQ,3622769
59,BKNG,Booking Holdings,163605921792,0.46,4.09,NMS,280025
60,T,AT&T,160295976960,1.36,0.99,NYQ,29866241
61,AMAT,Applied Materials,158310285312,-1.06,4.72,NMS,4763412
62,NEE,NextEra Energy,158281105408,3.15,-0.49,NYQ,12609106
63,SPGI,S&P Global,156025044992,1.15,4.04,NYQ,1302287
64,BLK,BlackRock,153946472448,0.31,5.5,NYQ,453708
65,LOW,Lowe's,153793413120,1.8,3.5,NYQ,1501120
66,PGR,Progressive Corporation,153201541120,2.45,7.75,NYQ,2599654
67,UBER,Uber,151695343616,-1.49,-1.65,NYQ,20076812
68,PFE,Pfizer,151421976576,-1.18,-3.4,NYQ,53549746
69,UNP,Union Pacific Corporation,146405015552,-0.44,3.78,NYQ,2205549
70,ETN,Eaton Corporation,144907993088,1.69,9.76,NYQ,2322663
71,SYK,Stryker Corporation,143321956352,1.66,2.4,NYQ,1009182
72,HON,Honeywell,142722711552,0.91,4.92,NMS,5551022
73,KKR,KKR,140449857536,0.99,10.77,NYQ,2518694
74,SCHW,Charles Schwab Corporation,135188234240,1.34,4.53,NYQ,7428561
75,LMT,Lockheed Martin,133820481536,2.31,3.52,NYQ,978495
76,VRTX,Vertex Pharmaceuticals,133075525632,2.84,9.68,NMS,1166113
77,PLTR,Palantir Technologies,133013594112,,,NYQ,82498453
78,TJX,TJX Companies,132896915456,0.84,4.84,NYQ,3024624
79,BSX,Boston Scientific,130065498112,1.58,5.54,NYQ,3737888
80,C,Citigroup,129797169152,0.76,8.68,NYQ,14960844
81,COP,ConocoPhillips,128430039040,-0.03,4.2,NYQ,5312641
82,PANW,Palo Alto Networks,128086040576,1.14,7.93,NMS,1981538
83,ANET,Arista Networks,126117724160,-7.09,1.59,NYQ,5992372
84,ADP,Automatic Data Processing,124164374528,-0.04,5.74,NMS,1426490
85,MU,Micron Technology,124068003840,-1.33,12.2,NMS,11966608
86,GILD,Gilead Sciences,120319991808,-1.36,7.89,NMS,7456525
87,FI,Fiserv,119871225856,0.88,4.28,NYQ,1370157
88,CB,Chubb Limited,113415643136,1.21,1.42,NYQ,780346
89,BA,Boeing,113392320512,0.46,-1.88,NYQ,11948055
90,UPS,United Parcel Service,113020321792,-1.27,-1.2,NYQ,2376868
91,INTC,Intel,113000603648,-0.11,12.93,NMS,75940403
92,NKE,"Nike, Inc.",112947372032,-0.05,-2.79,NYQ,7066336
93,MDT,Medtronic,112509665280,-0.45,-2.61,NYQ,8134485
94,ADI,Analog Devices,112108118016,-0.86,0.14,NMS,2727122
95,MMC,Marsh McLennan,110679252992,0.98,2.86,NYQ,2393122
96,SBUX,Starbucks,110572929024,1.49,-1.34,NMS,5861364
97,BMY,Bristol Myers Squibb,109805666304,-1.04,-0.33,NYQ,9215711
98,DE,Deere & Company,107814813696,-4.16,-1.59,NYQ,1621125
99,PLD,Prologis,107278852096,1.42,2.14,NYQ,2198668
100,LRCX,Lam Research,100619157504,,,NMS,7515002
101,ELV,Elevance Health,98015297536,-1.57,2.08,NYQ,1569393
102,SHW,Sherwin-Williams,97383997440,0.7,8.02,NYQ,2209489
103,SO,Southern Company,97121075200,1.97,0.11,NYQ,3805852
104,AMT,American Tower,94298923008,1.99,-4.48,NYQ,3220194
105,DELL,Dell Technologies,94228922368,-2.64,2.57,NYQ,5844077
106,GEV,GE Vernova,94047289344,,,NYQ,1717048
107,TT,Trane Technologies,92390350848,3.7,9.15,NYQ,1525357
108,KLAC,KLA Corporation,91947958272,0.18,2.69,NMS,1131426
109,MO,Altria,91604475904,0.95,0.33,NYQ,4246320
110,REGN,Regeneron Pharmaceuticals,91035074560,0.48,-1.8,NMS,563540
111,CTAS,Cintas,91032649728,2.82,9.78,NMS,1648127
112,WM,Waste Management,89954148352,1.67,4.73,NYQ,1853662
113,ICE,Intercontinental Exchange,89812770816,0.2,1.15,NYQ,4927687
114,HCA,HCA Healthcare,89707667456,-0.53,-0.85,NYQ,1252640
115,PH,Parker Hannifin,89535062016,1.08,9.79,NYQ,402362
116,APH,Amphenol,89058410496,-0.11,8.86,NYQ,5983791
117,CI,Cigna,88944975872,0.09,1.04,NYQ,1314068
118,EQIX,Equinix,88871419904,1.47,3.69,NMS,535919
119,MDLZ,Mondelez International,88521973760,0.73,-3.37,NMS,4749351
120,DUK,Duke Energy,87468138496,1.94,0.49,NYQ,3780881
121,MCO,Moody's Corporation,86479814656,2.49,4.56,NYQ,719941
122,SNPS,Synopsys,86261940224,-2.1,8.32,NMS,967084
123,WELL,Welltower,86055755776,0.93,3.7,NYQ,2484836
124,GD,General Dynamics,85094653952,1.13,5.62,NYQ,854391
125,MSI,Motorola Solutions,84329250816,7.37,11.17,NYQ,1185380
126,ABNB,Airbnb,84100554752,,,NMS,19161617
127,PYPL,PayPal,83220848640,2.04,7.46,NMS,7967514
128,AON,Aon,82998566912,1.03,5.31,NYQ,776803
129,CDNS,Cadence Design Systems,82621734912,-0.16,6.79,NMS,1241007
130,CME,CME Group,81319288832,1.63,0.92,NMS,1725197
131,PNC,PNC Financial Services,80931831808,0.37,8.99,NYQ,1886205
132,CRWD,CrowdStrike,80898932736,-0.23,8.87,NMS,2771929
133,ITW,Illinois Tool Works,80306839552,-0.35,3.37,NYQ,833594
134,CMG,Chipotle Mexican Grill,80133914624,1.03,0.38,NYQ,6528934
135,ZTS,Zoetis,79774998528,1.47,-2.82,NYQ,3243119
136,USB,U.S. Bancorp,78329102336,1.31,4.95,NYQ,7608091
137,MAR,Marriott International,78032347136,1.12,7.76,NMS,1491732
138,MCK,McKesson Corporation,77814218752,0.9,16.46,NYQ,1270473
139,NOC,Northrop Grumman,77071204352,1.62,4.35,NYQ,493541
140,TDG,TransDigm Group,75966144512,1.62,3.56,NYQ,245453
141,CL,Colgate-Palmolive,75630706688,1.98,-0.81,NYQ,4564428
142,EOG,EOG Resources,75435786240,6.06,10.99,NYQ,5334843
143,CEG,Constellation Energy,74867040256,,,NMS,5157902
144,MMM,3M,73156050944,0.95,5.6,NYQ,3379851
145,EMR,Emerson Electric,72792719360,0.06,17.33,NYQ,2748163
146,ECL,Ecolab,70801817600,1.52,2.24,NYQ,1019160
147,COF,Capital One,70659473408,0.21,13,NYQ,4246362
148,FTNT,Fortinet,70544334848,9.99,16.8,NMS,13455809
149,ORLY,O'Reilly Auto Parts,70430425088,0.26,6.2,NMS,306290
150,FDX,FedEx,69944786944,1.08,4.35,NYQ,1734115
151,CVS,CVS Health,69892087808,-2.68,-0.48,NYQ,13703861
152,APD,Air Products,69582053376,0.05,1.22,NYQ,2292955
153,CSX,CSX Corporation,69423120384,1.24,7.82,NMS,12539692
154,TGT,Target Corporation,68999905280,-0.75,-0.7,NYQ,2659634
155,CARR,Carrier Global,68799365120,,,NYQ,3403328
156,WMB,Williams Companies,68642455552,1.57,9.21,NYQ,5097908
157,SPG,Simon Property Group,67217178624,1.86,6.75,NYQ,703362
158,BDX,Becton Dickinson,66953687040,1.99,-1.53,NYQ,2711231
159,FCX,Freeport-McMoRan,66616078336,-4.57,1.69,NYQ,16094841
160,RSG,Republic Services,66259828736,1.69,6.55,NYQ,1011905
161,ADSK,Autodesk,65850925056,0.02,6.63,NMS,900484
162,AJG,Arthur J. Gallagher & Co.,64686096384,1.45,5.12,NYQ,787819
163,OKE,ONEOK,62601158656,2.9,14.78,NYQ,3578840
164,DLR,Digital Realty,61529071616,1.97,3.4,NYQ,2227867
165,NSC,Norfolk Southern Railway,61462622208,0.35,8.63,NYQ,1266372
166,GM,General Motors,61115768832,0.34,9.07,NYQ,8772266
167,SLB,Schlumberger,60976640000,-0.14,8.6,NYQ,11475602
168,ROP,Roper Technologies,60865323008,-0.81,4.94,NMS,350417
169,RCL,Royal Caribbean Group,60569473024,2.15,11.49,NYQ,1779979
170,HLT,Hilton Worldwide,60372115456,0.58,4.73,NYQ,1983348
171,AFL,Aflac,60147015680,0.77,3.4,NYQ,1184012
172,TFC,Truist Financial,60030455808,-1.01,6.81,NYQ,8678205
173,PCAR,Paccar,59969544192,1.47,10.67,NMS,2225175
174,KMI,Kinder Morgan,59717681152,1.78,11.17,NYQ,17380261
175,NXPI,NXP Semiconductors,59444547584,-0.94,-1.97,NMS,2740597
176,PSA,Public Storage,59435495424,1.89,4.87,NYQ,611196
177,GWW,W. W. Grainger,58554683392,1.3,8.99,NYQ,287236
178,TRV,Travelers Companies (The),58318917632,1.83,4.58,NYQ,1333493
179,SRE,Sempra,57797656576,1.66,11.76,NYQ,3733444
180,URI,United Rentals,57420255232,1.46,10.28,NYQ,468368
181,FICO,Fair Isaac,56786366464,7.18,17.26,NYQ,275887
182,JCI,Johnson Controls,56527347712,3.31,12.08,NYQ,3074970
183,MET,MetLife,56099864576,0,4.02,NYQ,3642783
184,BK,BNY Mellon,56028631040,-0.81,2.32,NYQ,2435002
185,CHTR,Charter Communications,55983984640,0.17,7.43,NMS,1109144
186,DHI,D. R. Horton,54692515840,0.4,0.69,NYQ,1577917
187,CPRT,Copart,54064603136,0.63,8.99,NMS,2922132
188,PCG,PG&E Corporation,53874978816,1.18,2.79,NYQ,15103213
189,AMP,Ameriprise Financial,53551087616,0.8,9.15,NYQ,384119
190,PAYX,Paychex,53470044160,1.37,7.52,NMS,1890600
191,FANG,Diamondback Energy,53106958336,0.16,3.45,NMS,2578710
192,MNST,Monster Beverage,52652232704,-1.08,3.52,NMS,10267571
193,AZO,AutoZone,52574404608,-1.27,4.32,NYQ,125517
194,PSX,Phillips 66,52222455808,-0.18,5.37,NYQ,1516879
195,ALL,Allstate,52139712512,3.33,6.92,NYQ,2018608
196,AEP,American Electric Power,51339264000,1.05,0.09,NMS,2580977
197,NEM,Newmont,51275792384,-0.27,-0.49,NYQ,9894424
198,O,Realty Income,50333384704,2,-2.33,NYQ,4596079
199,LHX,L3Harris,49427480576,2.27,5.3,NYQ,711884
200,MPC,Marathon Petroleum,49413558272,-0.16,7.42,NYQ,1078436
201,CMI,Cummins,48899895296,0.49,8.51,NYQ,734023
202,PWR,Quanta Services,48856621056,3.15,9.05,NYQ,1140582
203,COR,Cencora,48690348032,0.26,6.04,NYQ,1376034
204,D,Dominion Energy,48544178176,2.05,-2.03,NYQ,5554213
205,ODFL,Old Dominion,48274034688,1.44,12.5,NMS,1078772
206,VST,Vistra Corp.,48245997568,4.55,18.73,NYQ,9784363
207,FAST,Fastenal,47738593280,0.28,6.52,NMS,3031723
208,ROST,Ross Stores,47574667264,0.96,2.38,NMS,2739142
209,FIS,Fidelity National Information Services,47412834304,1.6,-1.16,NYQ,3113249
210,OXY,Occidental Petroleum,47254441984,-1.33,1.94,NYQ,11331317
211,AIG,American International Group,47144464384,-1.32,-0.18,NYQ,6826127
212,MSCI,MSCI,46552551424,3.19,2.78,NYQ,735243
213,LEN,Lennar,46520147968,0.68,1.72,NYQ,1219892
214,TEL,TE Connectivity,46505287680,-0.09,3.36,NYQ,1144358
215,HWM,Howmet Aerospace,46171561984,2.26,13.7,NYQ,1612097
216,CCI,Crown Castle,46002200576,1.57,-0.68,NYQ,1590114
217,AXON,Axon Enterprise,45584908288,28.68,41.64,NMS,3935925
218,KVUE,Kenvue,45400719360,,,NYQ,16634586
219,NDAQ,"Nasdaq, Inc.",45227708416,0.65,5.88,NMS,2228375
220,KDP,Keurig Dr Pepper,44600078336,-0.12,0.18,NMS,6138393
221,KMB,Kimberly-Clark,44556931072,1.03,-0.74,NYQ,1703467
222,AME,Ametek,44161323008,1.04,7,NYQ,830537
223,DFS,Discover Financial,43975258112,0.09,15.76,NYQ,3221937
224,HES,Hess Corporation,43808219136,-0.4,3.22,NYQ,1347694
225,F,Ford Motor Company,43597963264,0.09,8.8,NYQ,42822846
226,PRU,Prudential Financial,43384430592,-1.61,0.5,NYQ,2011880
227,KR,Kroger,43344048128,1.01,5.9,NYQ,3013681
228,VLO,Valero Energy,43274002432,0.43,6.61,NYQ,1360752
229,PEG,Public Service Enterprise Group,42757668864,1.89,-1.71,NYQ,2639201
